UnitRace	UnitName	UnitNumber	DefenderUnittypeName	DefenderUnittypeNumber	DefenderAltitudeName	DefenderAltitudeNumber	Strength	Armorpiercing
Sapiens	Battery	21	Aquatic	4	Surfaceair	1	10	0
Sapiens	Battery	21	Amphibian	5	Surfaceair	1	10	0
Sapiens	Destroyer	22	Light Ground	1	Surfaceair	1	10	0
Sapiens	Destroyer	22	Heavy Ground	2	Surfaceair	1	10	0
Sapiens	Destroyer	22	Aerial	3	Surfaceair	1	12	0
Sapiens	Destroyer	22	Aquatic	4	Surfaceair	1	16	0
Sapiens	Destroyer	22	Amphibian	5	Surfaceair	1	10	0
Titans	Cyber Underling	23	Light Ground	1	Surfaceair	1	7	0
Titans	Cyber Underling	23	Heavy Ground	2	Surfaceair	1	4	0
Titans	Cyber Underling	23	Aerial	3	Surfaceair	1	2	0
Titans	Cyber Underling	23	Aquatic	4	Surfaceair	1	2	0
Titans	Cyber Underling	23	Amphibian	5	Surfaceair	1	7	0
Titans	Mecha	24	Light Ground	1	Surfaceair	1	6	0
Titans	Mecha	24	Heavy Ground	2	Surfaceair	1	3	0
Titans	Mecha	24	Aerial	3	Surfaceair	1	4	0
Titans	Mecha	24	Aquatic	4	Surfaceair	1	2	0
Titans	Mecha	24	Amphibian	5	Surfaceair	1	6	0
Titans	Assimilator	25	Light Ground	1	Surfaceair	1	0	0
Titans	Assimilator	25	Heavy Ground	2	Surfaceair	1	0	0
Titans	Assimilator	25	Aerial	3	Surfaceair	1	0	0
Titans	Assimilator	25	Aquatic	4	Surfaceair	1	0	0
Titans	Assimilator	25	Amphibian	5	Surfaceair	1	0	0
Titans	Speeder	26	Light Ground	1	Surfaceair	1	10	0
Titans	Speeder	26	Heavy Ground	2	Surfaceair	1	5	0
Titans	Speeder	26	Aerial	3	Surfaceair	1	5	0
Titans	Speeder	26	Aquatic	4	Surfaceair	1	5	0
Titans	Speeder	26	Amphibian	5	Surfaceair	1	8	0
Titans	Mantisse	27	Light Ground	1	Surfaceair	1	6	0.25
Titans	Mantisse	27	Heavy Ground	2	Surfaceair	1	4	0
Titans	Mantisse	27	Aerial	3	Surfaceair	1	2	0.1
Titans	Mantisse	27	Aquatic	4	Surfaceair	1	4	0.2
Titans	Mantisse	27	Amphibian	5	Surfaceair	1	7	0
Titans	Guardian	28	Light Ground	1	Surfaceair	1	7	0
Titans	Guardian	28	Heavy Ground	2	Surfaceair	1	5	0.4
Titans	Guardian	28	Aerial	3	Surfaceair	1	7	0
Titans	Guardian	28	Aquatic	4	Surfaceair	1	5	0.45
Titans	Guardian	28	Amphibian	5	Surfaceair	1	7	0.25
Titans	Eclipse	29	Light Ground	1	Surfaceair	1	10	0
Titans	Eclipse	29	Heavy Ground	2	Surfaceair	1	6	0
Titans	Eclipse	29	Aerial	3	Surfaceair	1	12	0
Titans	Eclipse	29	Aquatic	4	Surfaceair	1	5	0
Titans	Eclipse	29	Amphibian	5	Surfaceair	1	11	0
Titans	Skimmer	30	Light Ground	1	Surfaceair	1	5	0.1
Titans	Skimmer	30	Heavy Ground	2	Surfaceair	1	5	0.3
Titans	Skimmer	30	Aerial	3	Surfaceair	1	5	0.2
Titans	Skimmer	30	Aquatic	4	Surfaceair	1	9	0.5
Titans	Skimmer	30	Amphibian	5	Surfaceair	1	5	0.15
Titans	Plasma Tank	31	Light Ground	1	Surfaceair	1	10	0
Titans	Plasma Tank	31	Heavy Ground	2	Surfaceair	1	12	0
Titans	Plasma Tank	31	Aerial	3	Surfaceair	1	5	0
Titans	Plasma Tank	31	Aquatic	4	Surfaceair	1	11	0
Titans	Plasma Tank	31	Amphibian	5	Surfaceair	1	10	0
Titans	Walker	32	Light Ground	1	Surfaceair	1	10	0
Titans	Walker	32	Heavy Ground	2	Surfaceair	1	10	0
Titans	Walker	32	Aerial	3	Surfaceair	1	11	0
Titans	Walker	32	Aquatic	4	Surfaceair	1	10	0
Titans	Walker	32	Amphibian	5	Surfaceair	1	10	0
Titans	Hydronaut	33	Light Ground	1	Surfaceair	1	12	0
Titans	Hydronaut	33	Heavy Ground	2	Surfaceair	1	10	0
Titans	Hydronaut	33	Aerial	3	Surfaceair	1	12	0
Titans	Hydronaut	33	Aquatic	4	Surfaceair	1	13	0
Titans	Hydronaut	33	Amphibian	5	Surfaceair	1	12	0
